|------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                                                                   COUNTS NUMBER OF INVOCATIONS                                                                   |
|------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                                                          LABEL                                                           | COUNT  | DEPTH  |   METRIC   |  SUM   |
|--------------------------------------------------------------------------------------------------------------------------|--------|--------|------------|--------|
| |00>>> __libc_start_main                                                                                                 | 137314 |      0 | trip_count | 137314 |
| |07>>>   |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<c... | 138867 |      2 | trip_count | 138867 |
| |07>>>     |_omp_fulfill_event                                                                                           | 138856 |      3 | trip_count | 138856 |
| |07>>>       |___sigaction                                                                                               | 138856 |      4 | trip_count | 138856 |
| |07>>>     |___sigaction                                                                                                 |     11 |      3 | trip_count |     11 |
| |08>>> pthread_condattr_setpshared                                                                                       | 139254 |      0 | trip_count | 139254 |
| |08>>> |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<cha... | 139254 |      1 | trip_count | 139254 |
| |08>>>   |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<c... | 139254 |      2 | trip_count | 139254 |
| |08>>>     |_omp_fulfill_event                                                                                           | 139244 |      3 | trip_count | 139244 |
| |08>>>       |___sigaction                                                                                               | 139244 |      4 | trip_count | 139244 |
| |08>>>     |___sigaction                                                                                                 |     10 |      3 | trip_count |     10 |
| |09>>> pthread_condattr_setpshared                                                                                       | 139616 |      0 | trip_count | 139616 |
| |09>>> |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<cha... | 139616 |      1 | trip_count | 139616 |
| |09>>>   |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<c... | 139616 |      2 | trip_count | 139616 |
| |09>>>     |_omp_fulfill_event                                                                                           | 139603 |      3 | trip_count | 139603 |
| |09>>>       |___sigaction                                                                                               | 139602 |      4 | trip_count | 139602 |
| |09>>>       |_lin_solve2(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> ... |      1 |      4 | trip_count |      1 |
| |09>>>         |___sigaction                                                                                             |      1 |      5 | trip_count |      1 |
